,times,train_loss,train_acc,test_loss,test_acc
model_relu_4,"[21.410298471339047, 21.21825435385108, 21.232622397132218, 21.269283895380795, 21.312926769256592, 21.29458645172417, 21.302440462633967, 21.281999118626118, 21.279937038198113, 21.27912851423025, 21.29483822453767, 21.28328098449856, 21.288810427300632, 21.38206796348095, 21.435881380923092, 21.302329750731587, 21.305830558761954, 21.327432601712644, 21.299676852300763, 21.220486600883305, 21.176353720016778, 21.113578227348626, 21.049481090158224, 21.042757380753756, 21.071126667782664, 21.128445354290307, 21.061849975958467, 21.067122077569366, 21.0570571096614, 21.054090880788863, 21.053794478066266, 21.044257439672947, 21.060190986841917, 21.04889793228358, 21.067966343834996, 21.04680914338678, 21.07203525584191, 21.06136904284358, 21.054498810321093, 21.040360299870372, 21.062694530934095, 21.02647528797388, 21.04319000057876, 21.05269364453852, 21.06511561293155, 21.055883307009935, 21.073875032365322, 21.05497494060546, 21.058238252066076, 21.082355335354805, 21.10469632409513, 21.07281654793769, 21.061537613160908, 21.04188668075949, 21.08158842008561, 21.060483679175377, 21.076973505318165, 21.088049568235874, 21.064185336232185, 21.047295399941504, 21.130714154802263, 21.165502146817744, 21.19513368420303, 21.183887626975775, 21.182207559235394, 21.186246434226632, 21.190560752525926, 21.214171304367483, 21.189267775043845, 21.185588067397475, 21.200135024264455, 21.185589095577598, 21.1932667279616, 21.2113968282938, 21.20201029907912, 21.19980174023658, 21.183520847931504, 21.17914851475507, 21.081054514274, 21.05237520020455, 21.08251399733126, 21.077515876851976, 21.069611251354218, 21.07438683602959, 21.058368416503072, 21.094836696982384, 21.206690365448594, 21.172272155992687, 21.209868047386408, 21.15875710733235, 21.183211700059474, 21.176771448925138, 21.207284699194133, 21.071202631108463, 21.235871927812696, 21.21378916874528, 21.30744724161923, 21.338502480648458, 21.270152306184173, 21.23662441316992]","[4.178407744068624, 3.800082639660067, 3.636339724216315, 3.53820319919635, 3.454611845943324, 3.41075415684439, 3.3352675870861237, 3.2457908364513037, 3.2677055264982724, 3.1975197420095847, 3.1572931989684436, 3.144009483439843, 3.069379857129148, 3.0067775206797567, 3.0870119665589786, 3.122339005970284, 2.985998846380912, 2.8966872716498804, 2.8639367584072417, 2.8082518412938815, 2.8743147008559284, 2.8620426221881683, 2.8141646854712836, 2.733800047803718, 2.686089215071305, 2.6356619026349937, 2.648006862386718, 2.608460070227113, 2.5713687327206896, 2.5204399430843267, 2.482184068016384, 2.4671001385544877, 2.425927676813072, 2.3656240954728385, 2.3723748632709083, 2.309346142937155, 2.319296567946139, 2.277471466442508, 2.2223230963167935, 2.22791078572383, 2.2052966347130973, 2.1314205906885055, 2.0957970902742935, 2.063542734326609, 2.015175190728034, 2.008526883161891, 1.9794174591293725, 1.9214761510224598, 1.8967000871058315, 1.8820915088019408, 1.8511954039868797, 1.9467178723391365, 1.8209352593897554, 1.762696264649901, 1.7410539419144926, 1.7076519846611316, 1.6863156340616134, 1.6493906584542122, 1.6794430639432825, 1.643354753094256, 1.5892766836049306, 1.5705307530015327, 1.596193578237158, 1.6056864734195992, 1.506353762143713, 1.51648987711543, 1.4628864017593892, 1.4887156233458263, 1.4853853697667037, 1.402072291240058, 1.3807881979076453, 1.3675055144083164, 1.3664560959772076, 1.3119100812451003, 1.291317839756646, 1.2819097587824477, 1.2900494914835372, 1.2612451567979115, 1.2263333020002947, 1.2200808845212698, 1.1905245498927963, 1.1838870351881627, 1.1888200977574224, 1.1759985621323061, 1.3122149420821148, 1.152771234207446, 1.1536352756383168, 1.1013851859380521, 1.1400416132129367, 1.0875551531381924, 1.09774691521969, 1.1037129701860726, 1.0349325888297136, 1.053563236732922, 1.0554333521277093, 1.0389929214097045, 1.028401014140195, 1.0209696346231738, 1.0070831361024275, 1.0099982837276995]","[0.07078804347826087, 0.12712595907928387, 0.15402014066496164, 0.17143142583120202, 0.18744405370843992, 0.19313858695652175, 0.20642183503836317, 0.22364929667519182, 0.21812659846547314, 0.23321211636828643, 0.23952605498721227, 0.24289082480818416, 0.2559103260869565, 0.26906170076726343, 0.2546755115089514, 0.24748241687979539, 0.2740489130434783, 0.28517023657289003, 0.2935621803069054, 0.3065617007672634, 0.29331042199488494, 0.2952605498721228, 0.30314098465473144, 0.3220468350383632, 0.33214913682864455, 0.34277893222506395, 0.33921435421994883, 0.3489450127877238, 0.3542639066496164, 0.3665441176470588, 0.3744924872122762, 0.3787244245524297, 0.3862292199488491, 0.4001158887468031, 0.3966831841432225, 0.4124880115089514, 0.406929347826087, 0.42131553708439895, 0.43349184782608696, 0.4270580242966752, 0.4339194373401534, 0.4494844948849105, 0.46079763427109977, 0.4682265025575447, 0.4786524936061381, 0.479599584398977, 0.48748001918158573, 0.5010669757033248, 0.5046715153452686, 0.5092111572890026, 0.517099584398977, 0.4954044117647059, 0.5204523657289002, 0.5373281649616368, 0.5446211636828645, 0.5534047314578004, 0.5581641624040921, 0.5691616048593351, 0.5594868925831202, 0.5688938618925832, 0.5834279092071611, 0.5874320652173913, 0.580926310741688, 0.5772738171355499, 0.6071091751918158, 0.6041959718670077, 0.6140824808184143, 0.6118446291560102, 0.6079084079283887, 0.6307864450127877, 0.6375359654731458, 0.6404291879795396, 0.6417519181585678, 0.6563219309462915, 0.6607416879795397, 0.6639226342710998, 0.6623361572890025, 0.6706881393861892, 0.6796755115089514, 0.6791160485933504, 0.686584878516624, 0.6898417519181586, 0.6889945652173913, 0.6955282928388747, 0.654451726342711, 0.6977661445012788, 0.6986532928388747, 0.7126518542199489, 0.7018781969309462, 0.716184462915601, 0.7124360613810742, 0.7094429347826087, 0.7291120524296675, 0.7236213235294118, 0.7248441496163683, 0.7272898017902814, 0.7319533248081842, 0.7335757672634271, 0.7372002877237852, 0.73823929028133]","[3.705770214901695, 3.4079774542699885, 3.2413740248619756, 3.10903096802627, 3.099761232545104, 2.9859883724888667, 2.9277237367026414, 2.8471413473539715, 2.8518559480015235, 2.8264973374861704, 2.775122060051447, 2.745891000651106, 2.6844080037708524, 2.6190798312802857, 2.912475157387649, 2.6183138225651996, 2.598570340796362, 2.5573972146722337, 2.5008110607726666, 2.4727507392062416, 2.49442324759085, 2.53170564808423, 2.4870848504802847, 2.4381669593762747, 2.378752009778083, 2.35679977151412, 2.3487974737263935, 2.3438817126841487, 2.325974612296382, 2.3008724707591384, 2.2793913717511334, 2.263793018799794, 2.2352012003524395, 2.215820087662226, 2.2053079197678387, 2.2183787234221835, 2.1712196250505085, 2.192116716240026, 2.1547396273552617, 2.14830987362922, 2.140041651605051, 2.148500629618198, 2.140646407875834, 2.109535857091976, 2.09532107733473, 2.132949293414249, 2.0637885513184946, 2.095780390727369, 2.0852595688421514, 2.1005048887639104, 2.0768168681784522, 2.045884296863894, 2.0626783129535142, 2.0901691823066035, 2.0733043483540983, 2.0505356343486643, 2.0546621989600267, 2.0461186819438693, 2.0977321983892705, 2.0358890521375437, 1.990682286552236, 2.1011287939699392, 2.0398004930230638, 2.0787536177454116, 2.054145158091678, 2.0697753867016564, 2.103318837624562, 2.1907269260551354, 2.0587587220759334, 2.068011176737049, 2.040822311292721, 2.0305649804163584, 2.039628228054771, 2.073522513425803, 2.060547113418579, 2.10743690744231, 2.089840179757227, 2.1085463354859173, 2.0752603660655926, 2.081332321408429, 2.1117954269240173, 2.060603567316562, 2.0871004243440265, 2.1350288964525053, 2.088903291315972, 2.1124938998041274, 2.0683141267752347, 2.0877514926693106, 2.082666062101533, 2.104996430722973, 2.1202022350287137, 2.102333261996885, 2.086011710046213, 2.112461542781395, 2.086273110365566, 2.103122042704232, 2.1118494453309458, 2.087871036952055, 2.1048508460008644, 2.1073345308062397]","[0.13063686708860758, 0.19313686708860758, 0.22043117088607594, 0.24208860759493672, 0.24070411392405064, 0.26839398734177217, 0.2789754746835443, 0.2939082278481013, 0.2933148734177215, 0.3113132911392405, 0.3119066455696203, 0.3160601265822785, 0.33000395569620256, 0.3462223101265823, 0.27630537974683544, 0.33732199367088606, 0.3485957278481013, 0.35739715189873417, 0.36985759493670883, 0.3705498417721519, 0.37223101265822783, 0.3642207278481013, 0.37302215189873417, 0.38805379746835444, 0.39556962025316456, 0.3984375, 0.40308544303797467, 0.4039754746835443, 0.4107001582278481, 0.4131724683544304, 0.42108386075949367, 0.41910601265822783, 0.42474287974683544, 0.4330498417721519, 0.4384889240506329, 0.4342365506329114, 0.4420490506329114, 0.43937895569620256, 0.45124604430379744, 0.4532238924050633, 0.4519382911392405, 0.4573773734177215, 0.45826740506329117, 0.46360759493670883, 0.46795886075949367, 0.46054193037974683, 0.47161787974683544, 0.4665743670886076, 0.471815664556962, 0.471815664556962, 0.47468354430379744, 0.4876384493670886, 0.48397943037974683, 0.47695806962025317, 0.4790348101265823, 0.48516613924050633, 0.48575949367088606, 0.49060522151898733, 0.4821993670886076, 0.4877373417721519, 0.5019778481012658, 0.4849683544303797, 0.4967365506329114, 0.49020965189873417, 0.4979232594936709, 0.4934731012658228, 0.478935917721519, 0.4470925632911392, 0.49713212025316456, 0.49950553797468356, 0.5049446202531646, 0.5083069620253164, 0.5080102848101266, 0.5040545886075949, 0.510185917721519, 0.49930775316455694, 0.49960443037974683, 0.5057357594936709, 0.512559335443038, 0.5157238924050633, 0.5090981012658228, 0.5151305379746836, 0.5122626582278481, 0.503065664556962, 0.5091969936708861, 0.5080102848101266, 0.5162183544303798, 0.5114715189873418, 0.5164161392405063, 0.5113726265822784, 0.5075158227848101, 0.5154272151898734, 0.5171083860759493, 0.518690664556962, 0.5166139240506329, 0.5189873417721519, 0.5147349683544303, 0.5256131329113924, 0.5190862341772152, 0.520371835443038]"
model_relu_8,"[21.273632310330868, 21.24519137479365, 21.297481869347394, 21.309016059152782, 21.29278685245663, 21.286715345457196, 21.321540489792824, 21.28969184216112, 21.288117454387248, 21.35208349954337, 21.309097174555063, 21.303352003917098, 21.381225095130503, 21.413126886822283, 21.409827808849514, 21.433858931064606, 21.34553944505751, 21.323571430519223, 21.26186543609947, 21.287155283614993, 21.235530883073807, 21.237522235140204, 21.2372261332348, 21.239556835033, 21.22075975127518, 21.251461868174374, 21.254249651916325, 21.22745128814131, 21.23308986891061, 21.222755127586424, 21.240882218815386, 21.244423935189843, 21.252731788903475, 21.262483187951148, 21.255440111272037, 21.245023005641997, 21.230612840503454, 21.22457116097212, 21.213786344975233, 21.224862505681813, 21.19630901236087, 21.200619750656188, 21.204961489886045, 21.191735348664224, 21.15643518511206, 21.18839038722217, 21.20414962247014, 21.192099739797413, 21.207701766863465, 21.19932198151946, 21.200875249691308, 21.21972087956965, 21.206403765827417, 21.19313237629831, 21.184173832647502, 21.22193124331534, 21.195736884139478, 21.231038972735405, 21.204294938594103, 21.20060510467738, 21.223482502624393, 21.22199625801295, 21.235675372183323, 21.245375595986843, 21.24150175228715, 21.226070513017476, 21.22538862004876, 21.21740614902228, 21.219685099087656, 21.22364886663854, 21.22684136684984, 21.209395674057305, 21.20876904949546, 21.412473098374903, 21.28386603947729, 21.293540919199586, 21.27082917559892, 21.155282388441265, 21.149548210203648, 21.22417176514864, 21.307166890241206, 21.30221744067967, 21.172483704052866, 21.140853172168136, 21.154200767166913, 21.171698968857527, 21.19035825971514, 21.17899918369949, 21.176728734746575, 21.160758996382356, 21.176799940876663, 21.19643465615809, 21.170700340531766, 21.180081414990127, 21.19996274728328, 21.265935983508825, 21.270633581094444, 21.2680509313941, 21.260108781978488, 21.288794682361186]","[4.177146402466327, 3.7537255012775628, 3.5497622380171285, 3.4242741744536573, 3.3717997683893386, 3.2736927462965633, 3.170762420005506, 3.099631722930752, 3.037561409308782, 2.9785684441666467, 2.9620812701447234, 2.885354772553115, 2.8081171457724805, 2.7505832309918024, 2.710180297227162, 2.6483591493133387, 2.595028346151952, 2.5321202595215624, 2.498033224774139, 2.4493198041111004, 2.4041887299179114, 2.348119522299608, 2.296308628128618, 2.2513743035323786, 2.2003100744598663, 2.1466476097131326, 2.1201276590147287, 2.074378013915723, 2.0219264564001955, 1.9904691852876901, 1.9398293934209878, 1.8878065929998218, 1.8543987082093574, 1.8105086713190883, 1.7885445319783047, 1.7279065508976617, 1.684707760810852, 1.654797164680403, 1.6237360175003481, 1.5910019966037683, 1.5731998346650693, 1.530261748587079, 1.486803735308635, 1.470202890198554, 1.4358530937863128, 1.4160544498802146, 1.3729174286508194, 1.3511375665969556, 1.3222507724676595, 1.3048181460641535, 1.2850362685940149, 1.2475259110445867, 1.2277819178903195, 1.2003388849975507, 1.2113308165689258, 1.1769337268436657, 1.1561394553355244, 1.1324538615963342, 1.1198601731863778, 1.0934442068304857, 1.0874982578370271, 1.0727934892220266, 1.062202424801829, 1.0252776827348773, 1.0290475117276088, 1.011586497201944, 1.0108528144829108, 0.9939305930186415, 0.9926320802220299, 0.9672383510548136, 0.9615062273981626, 0.9508695640527379, 0.9306483605633611, 0.9261641917021378, 0.9192557423315999, 0.9075119454232629, 0.9099881545357082, 0.8915071781638944, 0.8921527879317398, 0.8778068985780487, 0.8591314921598605, 0.8553741610873385, 0.8378555231996815, 0.8476618726540099, 0.8363415501306734, 0.8218129896141989, 0.8238759812948954, 0.8141106066039151, 0.8065432365745535, 0.8054231790173084, 0.799593574098309, 0.7874045107523193, 0.7747575880011635, 0.7865671648851136, 0.7677620400095839, 0.7578683412440902, 0.747535347481213, 0.746711574323342, 0.752149461404137, 0.7347495303586926]","[0.07093989769820971, 0.13459478900255753, 0.17060821611253196, 0.191803868286445, 0.20150255754475702, 0.2184143222506394, 0.23710437979539642, 0.2505035166240409, 0.2615129475703325, 0.2727861253196931, 0.2763467071611253, 0.2905930306905371, 0.3062180306905371, 0.31967710997442456, 0.3273537404092072, 0.339326246803069, 0.34977621483375954, 0.36582081202046035, 0.372374520460358, 0.3830922314578005, 0.38889466112531973, 0.4049792199488491, 0.4143702046035806, 0.4222226662404092, 0.4363171355498721, 0.44725063938618925, 0.45412803708439897, 0.46793877877237855, 0.47510789641943735, 0.4838235294117647, 0.4958639705882353, 0.5065337276214834, 0.516656010230179, 0.5276254795396419, 0.5325647378516624, 0.5453644501278773, 0.5618925831202046, 0.5638347186700767, 0.5734295076726342, 0.5817015664961637, 0.5857097186700767, 0.6005195012787724, 0.6088634910485934, 0.61332320971867, 0.6219709079283888, 0.6264266304347826, 0.6382832480818414, 0.6428828324808185, 0.6539442135549872, 0.656369884910486, 0.6627597506393863, 0.6719109654731459, 0.6789162404092072, 0.6856138107416879, 0.6830602621483377, 0.6907928388746803, 0.6975423593350384, 0.7022218670076726, 0.7069213554987213, 0.7124520460358057, 0.7144980818414322, 0.7199848145780052, 0.7222346547314579, 0.7312380115089514, 0.7299152813299233, 0.7332360933503836, 0.735290121483376, 0.7399456521739131, 0.7427070012787724, 0.7476182864450128, 0.7472186700767264, 0.7511948529411765, 0.7562979539641943, 0.7572090792838875, 0.7599784207161125, 0.7612372122762149, 0.7628077046035806, 0.7663083439897698, 0.767395300511509, 0.7701406649616368, 0.7740768861892583, 0.7750959079283888, 0.7806745524296674, 0.7780530690537084, 0.7791999680306906, 0.7822050831202046, 0.7854739450127878, 0.785525895140665, 0.7885589833759591, 0.7886588874680307, 0.7899416560102301, 0.793218510230179, 0.7953244884910486, 0.7937979539641944, 0.7979619565217392, 0.8008711636828645, 0.8031929347826087, 0.8041160485933504, 0.8008631713554987, 0.8072890025575447]","[3.627215273772614, 3.3063286226007005, 3.1511145815064636, 3.0118346063396597, 2.984230219563351, 2.8696029548403583, 2.781143022488944, 2.7385028313986863, 2.6456174458129498, 2.608838932423652, 2.624202290667763, 2.5152020665663706, 2.458161357082898, 2.447733713101737, 2.4044156557396996, 2.3398269580889353, 2.3354999536200416, 2.299366226679162, 2.299741302864461, 2.237970331047155, 2.2315080890172645, 2.1943091274816777, 2.1900961549976206, 2.171330984634689, 2.1148209813274916, 2.0821402148355412, 2.095026066031637, 2.08044741576231, 2.078680715983427, 2.039558893517603, 2.0185868136490446, 2.0256370864337003, 1.9847822279869756, 1.9981620779520348, 1.9971796002569078, 1.9583850404884242, 1.994496611100209, 1.9666517625881146, 1.9493664714354504, 1.9662860541404048, 1.9873657498178603, 1.9558465450624876, 1.984913952742951, 1.962643351735948, 1.9522281870057312, 1.978856501700003, 1.9934148803541931, 1.976978059056439, 1.9900455399404597, 2.005877072298074, 1.9884068875373164, 1.9983575615701796, 1.9907592761365673, 2.019137702410734, 2.016783487947681, 2.041520760029177, 1.9909997439082665, 2.0485579273368737, 1.992458172991306, 1.992233010786998, 2.0281995942321003, 2.0234797861002667, 2.0452918493295016, 2.062869693659529, 2.056409010404273, 2.039063950128193, 2.0578393181668053, 2.06169997287702, 2.09315887583962, 2.0594683432880836, 2.0602878784831566, 2.0635007785845407, 2.033647986906993, 2.0956068974507005, 2.0600621036336393, 2.0316076384315007, 2.0663689616360243, 2.0552982257891306, 2.0476150044912025, 2.0275287145300758, 2.0579232007642334, 2.0274923300441308, 2.0662872700751582, 2.0619830164728286, 2.04374573955053, 2.0435187741170955, 2.072977956337265, 2.015896862820734, 2.006873259815989, 2.005906785590739, 2.042304727095592, 2.030708792843396, 2.016430264786829, 2.032412026501909, 2.066259702549705, 2.047868546051315, 2.041749332524553, 2.042653021933157, 2.0386558861672124, 1.9876190906838527]","[0.15338212025316456, 0.21034414556962025, 0.22913370253164558, 0.260185917721519, 0.267998417721519, 0.2857990506329114, 0.3068631329113924, 0.31566455696202533, 0.3326740506329114, 0.34651898734177217, 0.34335443037974683, 0.364121835443038, 0.37964794303797467, 0.3791534810126582, 0.38597705696202533, 0.403876582278481, 0.4063488924050633, 0.41426028481012656, 0.4158425632911392, 0.42948971518987344, 0.4329509493670886, 0.4372033227848101, 0.43769778481012656, 0.4410601265822785, 0.453125, 0.4678599683544304, 0.4587618670886076, 0.4642998417721519, 0.46479430379746833, 0.4775514240506329, 0.47616693037974683, 0.48417721518987344, 0.49149525316455694, 0.4864517405063291, 0.49416534810126583, 0.49653876582278483, 0.49179193037974683, 0.4970332278481013, 0.5049446202531646, 0.508504746835443, 0.49604430379746833, 0.5126582278481012, 0.5064280063291139, 0.5092958860759493, 0.5120648734177216, 0.5084058544303798, 0.5077136075949367, 0.5098892405063291, 0.5107792721518988, 0.5080102848101266, 0.5175039556962026, 0.5182950949367089, 0.517306170886076, 0.5104825949367089, 0.509493670886076, 0.5136471518987342, 0.5182950949367089, 0.513251582278481, 0.525118670886076, 0.5190862341772152, 0.5238330696202531, 0.5254153481012658, 0.5228441455696202, 0.5253164556962026, 0.5256131329113924, 0.5256131329113924, 0.5230419303797469, 0.5209651898734177, 0.5223496835443038, 0.5264042721518988, 0.5248219936708861, 0.5226463607594937, 0.5349090189873418, 0.5224485759493671, 0.5292721518987342, 0.5370846518987342, 0.5286787974683544, 0.5348101265822784, 0.5334256329113924, 0.5376780063291139, 0.5339200949367089, 0.5395569620253164, 0.5318433544303798, 0.5348101265822784, 0.5348101265822784, 0.5390625, 0.534315664556962, 0.5450949367088608, 0.5494462025316456, 0.5435126582278481, 0.5399525316455697, 0.5478639240506329, 0.5447982594936709, 0.5352056962025317, 0.5429193037974683, 0.5456882911392406, 0.5404469936708861, 0.5382713607594937, 0.5403481012658228, 0.5479628164556962]"
